汚物	おぶつ
姓名	せいめい
媒酌	ばいしゃく
子猫	こねこ
岩肌	いわはだ
左舷	さげん
幻惑	げんわく
彼氏	かれし
微弱	びじゃく
悲嘆	ひたん
感嘆	かんたん
憤激	ふんげき
投獄	とうごく
担架	たんか
暦年	れきねん
本旨	ほんし
概観	がいかん
歓談	かんだん
殺到	さっとう
母艦	ぼかん
浮世	うきよ
滞留	たいりゅう
潔癖	けっぺき
特赦	とくしゃ
瑠璃	るり
甘受	かんじゅ
発露	はつろ
盲腸	もうちょう
督促	とくそく
粗悪	そあく
統帥	とうすい
綱紀	こうき
網目	あみめ
縁者	えんじゃ
翻弄	ほんろう
翻案	ほんあん
老婆	ろうば
臭気	しゅうき
葬列	そうれつ
藩士	はんし
被覆	ひふく
裸眼	らがん
賄賂	わいろ
越権	えっけん
跡目	あとめ
躍如	やくじょ
透過	とうか
途絶	とぜつ
遭遇	そうぐう
醜態	しゅうたい
銘記	めいき
鑑識	かんしき
陣屋	じんや
隠匿	いんとく
雑炊	ぞうすい
雷雲	らいうん
香炉	こうろ
驚嘆	きょうたん
鼻炎	びえん
一蹴	いっしゅう
主賓	しゅひん
乾物	かんぶつ
休診	きゅうしん
体臭	たいしゅう
俊英	しゅんえい
俳諧	はいかい
偶像	ぐうぞう
傍受	ぼうじゅ
僧堂	そうどう
円環	えんかん
凡打	ぼんだ
前駆	ぜんく
