屈強	くっきょう
怠惰	たいだ
愚直	ぐちょく
抹殺	まっさつ
拝啓	はいけい
旧盆	きゅうぼん
旺盛	おうせい
暴虐	ぼうぎゃく
本陣	ほんじん
歩幅	ほはば
潰瘍	かいよう
煙幕	えんまく
瓶詰	びんづめ
畏敬	いけい
盗用	とうよう
着弾	ちゃくだん
硬度	こうど
糧食	りょうしょく
累増	るいぞう
耐乏	たいぼう
脱帽	だつぼう
脳炎	のうえん
腰縄	こしなわ
自嘲	じちょう
舞姫	まいひめ
舟艇	しゅうてい
草履	ぞうり
荘園	しょうえん
褒美	ほうび
誤診	ごしん
豪傑	ごうけつ
豪放	ごうほう
賢母	けんぼ
踏破	とうは
軟投	なんとう
達磨	だるま
銘文	めいぶん
開墾	かいこん
陰陽	いんよう
陶磁	とうじ
隠語	いんご
隣席	りんせき
隷書	れいしょ
雅文	がぶん
霊山	れいざん
風貌	ふうぼう
鬼気	きき
鬼門	きもん
万端	ばんたん
下肢	かし
不朽	ふきゅう
予審	よしん
享年	きょうねん
催眠	さいみん
僧院	そういん
償金	しょうきん
入塾	にゅうじゅく
加療	かりょう
厳戒	げんかい
参詣	さんけい
啓示	けいじ
営為	えいい
壮麗	そうれい
奇病	きびょう
好奇	こうき
妙技	みょうぎ
安眠	あんみん
密封	みっぷう
尿酸	にょうさん
山吹	やまぶき
山賊	さんぞく
帯封	おびふう
