不快	ふかい
失態	しったい
守勢	しゅせい
寄金	ききん
居室	きょしつ
常習	じょうしゅう
年刊	ねんかん
当確	とうかく
応札	おうさつ
快楽	かいらく
性行	せいこう
手製	てせい
持久	じきゅう
採集	さいしゅう
支流	しりゅう
旧式	きゅうしき
暴徒	ぼうと
正則	せいそく
永代	えいたい
法師	ほうし
温厚	おんこう
熱弁	ねつべん
略歴	りゃくれき
絶句	ぜっく
義勇	ぎゆう
能動	のうどう
航法	こうほう
行程	こうてい
規程	きてい
解読	かいどく
護送	ごそう
貧弱	ひんじゃく
送検	そうけん
過多	かた
道程	みちのり
重責	じゅうせき
雑居	ざっきょ
首領	しゅりょう
一報	いっぽう
体現	たいげん
余罪	よざい
公述	こうじゅつ
