秩序	ちつじょ
休憩	きゅうけい
併用	へいよう
優遇	ゆうぐう
公募	こうぼ
冒険	ぼうけん
冗談	じょうだん
冷却	れいきゃく
別荘	べっそう
到着	とうちゃく
卓球	たっきゅう
即日	そくじつ
土壌	どじょう
地獄	じごく
地雷	じらい
執筆	しっぴつ
奨励	しょうれい
宮殿	きゅうでん
尋問	じんもん
序盤	じょばん
弊害	へいがい
後輩	こうはい
恐竜	きょうりゅう
抑留	よくりゅう
投棄	とうき
拘束	こうそく
招致	しょうち
拡充	かくじゅう
提訴	ていそ
援護	えんご
擁護	ようご
敏感	びんかん
日頃	ひごろ
昇格	しょうかく
書房	しょぼう
歓声	かんせい
求刑	きゅうけい
浄化	じょうか
溶岩	ようがん
滑走	かっそう
潜在	せんざい
無縁	むえん
狂言	きょうげん
疲労	ひろう
発掘	はっくつ
皮膚	ひふ
硬派	こうは
社債	しゃさい
禁煙	きんえん
絶滅	ぜつめつ
継投	けいとう
罰則	ばっそく
自粛	じしゅく
船舶	せんぱく
艦隊	かんたい
荒木	あらき
菓子	かし
虚偽	きょぎ
襲撃	しゅうげき
解雇	かいこ
記載	きさい
誘導	ゆうどう
豪華	ごうか
近隣	きんりん
迫力	はくりょく
