圧力	あつりょく
商務	しょうむ
在学	ざいがく
境界	きょうかい
増強	ぞうきょう
女史	じょし
学歴	がくれき
定義	ていぎ
定額	ていがく
復旧	ふっきゅう
志願	しがん
応用	おうよう
快適	かいてき
性別	せいべつ
悪質	あくしつ
愛情	あいじょう
技能	ぎのう
授受	じゅじゅ
接戦	せっせん
接近	せっきん
救助	きゅうじょ
断念	だんねん
時価	じか
書評	しょひょう
月額	げつがく
検証	けんしょう
減反	げんたん
物件	ぶっけん
特性	とくせい
田舎	いなか
発効	はっこう
的確	てきかく
破産	はさん
祖父	そふ
禁輸	きんゆ
税務	ぜいむ
