無二	むに
資産	しさん
賛成	さんせい
輸送	ゆそう
辞任	じにん
通常	つうじょう
運営	うんえい
関税	かんぜい
防止	ぼうし
集団	しゅうだん
非常	ひじょう
主導	しゅどう
任期	にんき
低迷	ていめい
保全	ほぜん
保証	ほしょう
個別	こべつ
公判	こうはん
兵士	へいし
再建	さいけん
再編	さいへん
再開	さいかい
出演	しゅつえん
出版	しゅっぱん
制作	せいさく
制限	せいげん
単独	たんどく
印象	いんしょう
原告	げんこく
反応	はんのう
受賞	じゅしょう
同士	どうし
周囲	しゅうい
国営	こくえい
