重症	じゅうしょう
購買	こうばい
越後	えちご
足腰	あしこし
車掌	しゃしょう
転覆	てんぷく
追随	ついずい
途方	とほう
連鎖	れんさ
遅延	ちえん
還暦	かんれき
量刑	りょうけい
閲覧	えつらん
陣地	じんち
面影	おもかげ
預託	よたく
領袖	りょうしゅう
不倫	ふりん
中欧	ちゅうおう
介助	かいじょ
俊足	しゅんそく
元帥	げんすい
参与	さんよ
双葉	ふたば
受刑	じゅけい
含有	がんゆう
哀悼	あいとう
図柄	ずがら
塾長	じゅくちょう
大尉	たいい
奥山	おくやま
寝具	しんぐ
就寝	しゅうしん
帰途	きと
扶助	ふじょ
押収	おうしゅう
挿絵	さしえ
換気	かんき
撲滅	ぼくめつ
改訂	かいてい
攻略	こうりゃく
模範	もはん
歳暮	せいぼ
殿堂	でんどう
汚名	おめい
汚濁	おだく
沈下	ちんか
沸騰	ふっとう
渦中	かちゅう
滞納	たいのう
漫才	まんざい
漬物	つけもの
献立	こんだて
疎通	そつう
盆栽	ぼんさい
監理	かんり
破裂	はれつ
示唆	しさ
祈念	きねん
秀作	しゅうさく
窒息	ちっそく
窮状	きゅうじょう
統括	とうかつ
自浄	じじょう
葛藤	かっとう
融通	ゆうずう
触発	しょくはつ
該当	がいとう
貧乏	びんぼう
賞与	しょうよ
軟禁	なんきん
輪郭	りんかく
