倉敷	くらしき
傑作	けっさく
免除	めんじょ
凶作	きょうさく
勧誘	かんゆう
勲章	くんしょう
即座	そくざ
双子	ふたご
壊滅	かいめつ
外壁	がいへき
威信	いしん
婚姻	こんいん
家畜	かちく
射撃	しゃげき
屈辱	くつじょく
川柳	せんりゅう
巡回	じゅんかい
帳簿	ちょうぼ
惑星	わくせい
惨事	さんじ
憂慮	ゆうりょ
把握	はあく
抗体	こうたい
指紋	しもん
振替	ふりかえ
控室	ひかえしつ
掲示	けいじ
描写	びょうしゃ
摘出	てきしゅつ
暗礁	あんしょう
未婚	みこん
東亜	とうあ
棋士	きし
棋院	きいん
歳月	さいげつ
水槽	すいそう
没後	ぼつご
洗浄	せんじょう
温床	おんしょう
漁獲	ぎょかく
獣医	じゅうい
盗聴	とうちょう
盗難	とうなん
監禁	かんきん
石垣	いしがき
累計	るいけい
結晶	けっしょう
総督	そうとく
腎臓	じんぞう
艦船	かんせん
華麗	かれい
葬式	そうしき
衰退	すいたい
許諾	きょだく
診察	しんさつ
謙虚	けんきょ
豪快	ごうかい
賢人	けんじん
贈呈	ぞうてい
超過	ちょうか
踏切	ふみきり
躍起	やっき
軌跡	きせき
酵素	こうそ
釈明	しゃくめい
