減殺	げんさい
得度	とくど
復古	ふっこ
快方	かいほう
悪政	あくせい
放任	ほうにん
救世	きゅうせい
暴発	ぼうはつ
暴飲	ぼういん
来歴	らいれき
来航	らいこう
歴戦	れきせん
残余	ざんよ
殺虫	さっちゅう
減水	げんすい
真性	しんせい
眼底	がんてい
禁足	きんそく
素読	そどく
老境	ろうきょう
葉桜	はざくら
解熱	げねつ
評点	ひょうてん
豊年	ほうねん
豊満	ほうまん
転貸	てんたい
選評	せんぴょう
重罪	じゅうざい
開眼	かいがん
雑則	ざっそく
仏画	ぶつが
博識	はくしき
受粉	じゅふん
同義	どうぎ
増量	ぞうりょう
大任	たいにん
大枝	おおえだ
学則	がくそく
居城	きょじょう
布目	ぬのめ
常夏	とこなつ
心性	しんせい
採炭	さいたん
旧版	きゅうはん
星団	せいだん
無精	ぶしょう
町政	ちょうせい
病因	びょういん
白銅	はくどう
社務	しゃむ
禁句	きんく
精肉	せいにく
