動作	どうさ
動力	どうりょく
動画	どうが
反転	はんてん
古着	ふるぎ
命日	めいにち
問答	もんどう
多面	ためん
大役	たいやく
始業	しぎょう
客足	きゃくあし
家主	やぬし
平時	へいじ
急行	きゅうこう
指先	ゆびさき
文面	ぶんめん
暗雲	あんうん
暗黒	あんこく
楽曲	がっきょく
気球	ききゅう
深海	しんかい
病死	びょうし
組曲	くみきょく
苦言	くげん
茶屋	ちゃや
薬学	やくがく
詩歌	しいか
調教	ちょうきょう
転向	てんこう
返答	へんとう
配球	はいきゅう
重心	じゅうしん
重油	じゅうゆ
開口	かいこう
電柱	でんちゅう
黒板	こくばん
予言	よげん
