川辺	かわべ
市井	しせい
戦意	せんい
景勝	けいしょう
未完	みかん
法外	ほうがい
清風	せいふう
無害	むがい
熱血	ねっけつ
用例	ようれい
用量	ようりょう
病巣	びょうそう
発芽	はつが
白菜	はくさい
組成	そせい
美的	びてき
血清	けっせい
談笑	だんしょう
選集	せんしゅう
部類	ぶるい
隊列	たいれつ
静物	せいぶつ
麦芽	ばくが
一輪	いちりん
上辺	うわべ
上達	じょうたつ
不同	ふどう
不漁	ふりょう
交差	こうさ
低木	ていぼく
低空	ていくう
先達	せんだつ
全敗	ぜんぱい
冷気	れいき
初等	しょとう
古城	こじょう
和英	わえい
器官	きかん
変節	へんせつ
変色	へんしょく
失礼	しつれい
女官	じょかん
