未来	みらい
後続	こうぞく
悲願	ひがん
投信	とうしん
最強	さいきょう
望月	もちづき
本願	ほんがん
標的	ひょうてき
民生	みんせい
決戦	けっせん
沖合	おきあい
法定	ほうてい
満点	まんてん
無言	むごん
熱戦	ねっせん
牧場	ぼくじょう
番付	ばんづけ
直径	ちょっけい
社説	しゃせつ
祝賀	しゅくが
祭典	さいてん
縄文	じょうもん
英文	えいぶん
覚書	おぼえがき
議院	ぎいん
軽量	けいりょう
連行	れんこう
配達	はいたつ
集積	しゅうせき
順当	じゅんとう
順番	じゅんばん
高卒	こうそつ
不定	ふてい
事典	じてん
付加	ふか
以上	いじょう
休戦	きゅうせん
