人材	じんざい
人類	じんるい
代議	だいぎ
以下	いか
位置	いち
入試	にゅうし
公害	こうがい
共産	きょうさん
初日	しょにち
加入	かにゅう
助成	じょせい
参入	さんにゅう
反省	はんせい
司法	しほう
命令	めいれい
地帯	ちたい
変動	へんどう
大戦	たいせん
失敗	しっぱい
失点	しってん
季節	きせつ
完全	かんぜん
完成	かんせい
年末	ねんまつ
戦線	せんせん
手法	しゅほう
最多	さいた
有利	ゆうり
