彩色	さいしき
先般	せんぱん
党是	とうぜ
凡人	ぼんじん
初恋	はつこい
刺殺	しさつ
勇敢	ゆうかん
占有	せんゆう
厳罰	げんばつ
右端	みぎはし
哀愁	あいしゅう
噴水	ふんすい
国葬	こくそう
坑道	こうどう
埋設	まいせつ
城壁	じょうへき
堅守	けんしゅ
堆肥	たいひ
壁紙	かべがみ
外堀	そとぼり
大柄	おおがら
妄想	もうそう
媒介	ばいかい
孤島	ことう
寡黙	かもく
寮生	りょうせい
封印	ふういん
尋常	じんじょう
小舟	こぶね
強襲	きょうしゅう
後悔	こうかい
徴税	ちょうぜい
忍者	にんじゃ
思索	しさく
拓殖	たくしょく
排煙	はいえん
探索	たんさく
文豪	ぶんごう
旬報	じゅんぽう
末尾	まつび
本棚	ほんだな
柔和	にゅうわ
死闘	しとう
沈滞	ちんたい
沢辺	さわべ
法曹	ほうそう
洞察	どうさつ
流儀	りゅうぎ
海藻	かいそう
渡来	とらい
漸進	ぜんしん
激震	げきしん
炊事	すいじ
無菌	むきん
狙撃	そげき
猛毒	もうどく
画壇	がだん
禍根	かこん
種痘	しゅとう
突如	とつじょ
精錬	せいれん
結審	けっしん
繁盛	はんじょう
肩身	かたみ
背丈	せたけ
脂質	ししつ
脈拍	みゃくはく
腫瘍	しゅよう
花瓶	かびん
芳香	ほうこう
苦杯	くはい
薄膜	うすまく
