代役	だいやく
美化	びか
自重	じじゅう
返品	へんぴん
運休	うんきゅう
重文	じゅうぶん
鉄分	てつぶん
鉄線	てっせん
一倍	いちばい
一味	いちみ
丁重	ていちょう
人波	ひとなみ
代筆	だいひつ
円柱	えんちゅう
写本	しゃほん
受動	じゅどう
回遊	かいゆう
大所	おおどころ
大昔	おおむかし
学事	がくじ
安直	あんちょく
実直	じっちょく
寒波	かんぱ
小事	しょうじ
山路	やまじ
川面	かわも
平気	へいき
急場	きゅうば
文物	ぶんぶつ
文筆	ぶんぴつ
新調	しんちょう
日和	ひより
春陽	しゅんよう
次週	じしゅう
母屋	おもや
水流	すいりゅう
決行	けっこう
流水	りゅうすい
消去	しょうきょ
深部	しんぶ
湖岸	こがん
物見	ものみ
目次	もくじ
