肉体	にくたい
自前	じまえ
自白	じはく
電池	でんち
食用	しょくよう
高原	こうげん
黄色	きいろ
一元	いちげん
一室	いっしつ
一色	いっしょく
中京	ちゅうきょう
何十	なんじゅう
千里	せんり
南方	なんぽう
口頭	こうとう
古書	こしょ
同人	どうじん
同地	どうち
国名	こくめい
声楽	せいがく
外野	がいや
多大	ただい
大方	おおかた
小国	しょうこく
