墓参	はかまいり
士官	しかん
実証	じっしょう
容体	ようだい
寄港	きこう
常用	じょうよう
復調	ふくちょう
戦士	せんし
打破	だは
損益	そんえき
改編	かいへん
政教	せいきょう
散布	さんぷ
有益	ゆうえき
正解	せいかい
民政	みんせい
気質	きしつ
特設	とくせつ
留保	りゅうほ
真価	しんか
祖先	そせん
素質	そしつ
自費	じひ
製鉄	せいてつ
親衛	しんえい
解答	かいとう
講談	こうだん
豊作	ほうさく
近衛	このえ
運河	うんが
鉄製	てっせい
鉱業	こうぎょう
開演	かいえん
非行	ひこう
領空	りょうくう
不備	ふび
