圧死	あっし
増便	ぞうびん
変性	へんせい
失効	しっこう
始祖	しそ
婦長	ふちょう
完備	かんび
寄生	きせい
山河	さんが
市価	しか
慣性	かんせい
旧家	きゅうか
河童	かっぱ
現出	げんしゅつ
禁酒	きんしゅ
絶賛	ぜっさん
語句	ごく
迷宮	めいきゅう
逆行	ぎゃっこう
銅山	どうざん
長居	ながい
門限	もんげん
防寒	ぼうかん
院政	いんせい
風評	ふうひょう
両性	りょうせい
余勢	よせい
余熱	よねつ
具現	ぐげん
増築	ぞうちく
夢中	むちゅう
学舎	がくしゃ
年限	ねんげん
強圧	きょうあつ
性交	せいこう
性愛	せいあい
愛妻	あいさい
授産	じゅさん
提灯	ちょうちん
暴漢	ぼうかん
枝葉	えだは
液状	えきじょう
混在	こんざい
