車座	くるまざ
近視	きんし
返納	へんのう
退路	たいろ
郵船	ゆうせん
重宝	ちょうほう
頭頂	とうちょう
下座	げざ
乱造	らんぞう
仏閣	ぶっかく
冷厳	れいげん
別段	べつだん
副署	ふくしょ
可視	かし
大系	たいけい
宗祖	しゅうそ
専有	せんゆう
小腸	しょうちょう
序幕	じょまく
日射	にっしゃ
晩春	ばんしゅん
樹液	じゅえき
沿革	えんかく
泉水	せんすい
点呼	てんこ
皇軍	こうぐん
私達	わたしたち
穀類	こくるい
算段	さんだん
納品	のうひん
縦糸	たていと
若人	わこうど
血筋	ちすじ
車券	しゃけん
退出	たいしゅつ
開腹	かいふく
一存	いちぞん
主著	しゅちょ
全訳	ぜんやく
処世	しょせい
原寸	げんすん
和裁	わさい
官憲	かんけん
家筋	いえすじ
左党	さとう
干支	えと
性欲	せいよく
推挙	すいきょ
洋装	ようそう
洗練	せんれん
満潮	まんちょう
特装	とくそう
画策	かくさく
着座	ちゃくざ
