球審	きゅうしん
生粋	きっすい
疾走	しっそう
碁盤	ごばん
禁忌	きんき
素描	そびょう
絞殺	こうさつ
縁談	えんだん
聴力	ちょうりょく
胎内	たいない
花婿	はなむこ
藻類	そうるい
訃報	ふほう
試掘	しくつ
軟骨	なんこつ
辛抱	しんぼう
送致	そうち
遊離	ゆうり
違約	いやく
遷宮	せんぐう
銃口	じゅうこう
閉廷	へいてい
隆起	りゅうき
額縁	がくぶち
高慢	こうまん
魔物	まもの
鶏卵	けいらん
黙認	もくにん
今般	こんぱん
令嬢	れいじょう
倒木	とうぼく
偉人	いじん
免状	めんじょう
兼営	けんえい
内縁	ないえん
利尿	りにょう
南欧	なんおう
南緯	なんい
哀歓	あいかん
声紋	せいもん
大蛇	だいじゃ
安泰	あんたい
寝床	ねどこ
小唄	こうた
岩礁	がんしょう
川幅	かわはば
巨漢	きょかん
幼稚	ようち
恒産	こうさん
慶事	けいじ
成婚	せいこん
戦禍	せんか
抜粋	ばっすい
押印	おういん
拒絶	きょぜつ
提督	ていとく
撤兵	てっぺい
改廃	かいはい
散髪	さんぱつ
施錠	せじょう
昇華	しょうか
暴騰	ぼうとう
本殿	ほんでん
本邦	ほんぽう
枯死	こし
模倣	もほう
歌舞	かぶ
正殿	せいでん
