学院	がくいん
悲鳴	ひめい
意地	いじ
投入	とうにゅう
本業	ほんぎょう
洋服	ようふく
洋画	ようが
消息	しょうそく
物流	ぶつりゅう
筆者	ひっしゃ
美人	びじん
船橋	ふなばし
落語	らくご
行列	ぎょうれつ
行員	こういん
行進	こうしん
身内	みうち
部族	ぶぞく
開業	かいぎょう
陽子	ようし
面白	おもしろ
頭部	とうぶ
食物	しょくもつ
高温	こうおん
上申	じょうしん
下部	かぶ
事後	じご
先着	せんちゃく
入所	にゅうしょ
全文	ぜんぶん
内申	ないしん
切実	せつじつ
助役	じょやく
助言	じょげん
