車道	しゃどう
近作	きんさく
近道	ちかみち
道理	どうり
野原	のはら
門下	もんか
間口	まぐち
休会	きゅうかい
北風	きたかぜ
古風	こふう
合体	がったい
多元	たげん
大門	だいもん
帰京	ききょう
強弱	きょうじゃく
文通	ぶんつう
月光	げっこう
本丸	ほんまる
海鳥	うみどり
王道	おうどう
知日	ちにち
自明	じめい
茶室	ちゃしつ
親元	おやもと
親父	おやじ
遠足	えんそく
