玩具	おもちゃ
球菌	きゅうきん
異端	いたん
疲弊	ひへい
痛恨	つうこん
矛先	ほこさき
矯正	きょうせい
祈願	きがん
神妙	しんみょう
神殿	しんでん
禅寺	ぜんでら
窮屈	きゅうくつ
端緒	たんしょ
精巧	せいこう
系譜	けいふ
紛糾	ふんきゅう
続伸	ぞくしん
罷免	ひめん
落胆	らくたん
血痕	けっこん
行脚	あんぎゃ
襲名	しゅうめい
触媒	しょくばい
訴追	そつい
誓約	せいやく
貸与	たいよ
贈答	ぞうとう
起債	きさい
越冬	えっとう
軽震	けいしん
逆襲	ぎゃくしゅう
透析	とうせき
逓信	ていしん
選奨	せんしょう
金網	かなあみ
鉄砲	てっぽう
餓死	がし
高架	こうか
高瀬	たかせ
魔女	まじょ
一泊	いっぱく
不眠	ふみん
不穏	ふおん
両端	りょうたん
中尉	ちゅうい
亜鉛	あえん
人為	じんい
伏兵	ふくへい
伯父	おじ
作柄	さくがら
偶発	ぐうはつ
充当	じゅうとう
充足	じゅうそく
公訴	こうそ
冷淡	れいたん
剣士	けんし
卓越	たくえつ
即席	そくせき
厄介	やっかい
同伴	どうはん
喚起	かんき
噴射	ふんしゃ
堀川	ほりかわ
外需	がいじゅ
奉公	ほうこう
奥地	おくち
委嘱	いしょく
嫌悪	けんお
存廃	そんぱい
小僧	こぞう
巨体	きょたい
