方形	ほうけい
春雨	はるさめ
村会	そんかい
校風	こうふう
母船	ぼせん
海風	かいふう
知力	ちりょく
社寺	しゃじ
草紙	そうし
通風	つうふう
高点	こうてん
一書	いっしょ
中秋	ちゅうしゅう
今風	いまふう
作画	さくが
出家	しゅっけ
名歌	めいか
声色	こわいろ
外用	がいよう
子細	しさい
小話	こばなし
小雪	こゆき
弓矢	ゆみや
教本	きょうほん
新茶	しんちゃ
校友	こうゆう
海女	あま
