知育	ちいく
筆談	ひつだん
終生	しゅうせい
羽化	うか
苦行	くぎょう
調味	ちょうみ
遠投	えんとう
電送	でんそう
風流	ふうりゅう
一事	いちじ
両用	りょうよう
他店	たてん
光速	こうそく
宿屋	やどや
小皿	こざら
悪用	あくよう
暑中	しょちゅう
村有	そんゆう
板紙	いたがみ
死線	しせん
気化	きか
泳者	えいしゃ
海港	かいこう
深長	しんちょう
火柱	ひばしら
肉屋	にくや
花期	かき
薬理	やくり
表出	ひょうしゅつ
進水	しんすい
開運	かいうん
馬具	ばぐ
万感	ばんかん
上等	じょうとう
内発	ないはつ
十指	じっし
向後	こうご
夜曲	やきょく
始終	しじゅう
実学	じつがく
客人	きゃくじん
