集票	しゅうひょう
願書	がんしょ
飛車	ひしゃ
食塩	しょくえん
養父	ようふ
入念	にゅうねん
冷水	れいすい
単産	たんさん
参道	さんどう
好物	こうぶつ
学説	がくせつ
害虫	がいちゅう
少佐	しょうさ
岐路	きろ
工兵	こうへい
底力	そこぢから
念書	ねんしょ
戦列	せんれつ
戦友	せんゆう
戦地	せんち
挙式	きょしき
改組	かいそ
日課	にっか
本隊	ほんたい
標語	ひょうご
民宿	みんしゅく
水辺	みずべ
無力	むりょく
物議	ぶつぎ
特選	とくせん
生成	せいせい
発熱	はつねつ
薬害	やくがい
見栄	みえ
課員	かいん
議事	ぎじ
辞令	じれい
