日参	にっさん
早産	そうざん
最中	さいちゅう
木管	もっかん
校訓	こうくん
極上	ごくじょう
極悪	ごくあく
標章	ひょうしょう
浴客	よっきゃく
無茶	むちゃ
焼香	しょうこう
熱線	ねっせん
特高	とっこう
産前	さんぜん
結節	けっせつ
老木	ろうぼく
落成	らくせい
軍馬	ぐんば
選外	せんがい
鏡面	きょうめん
類書	るいしょ
一席	いっせき
下側	したがわ
付言	ふげん
位相	いそう
便法	べんぽう
出漁	しゅつりょう
初音	はつね
加筆	かひつ
原種	げんしゅ
器量	きりょう
外伝	がいでん
大老	たいろう
小便	しょうべん
敗走	はいそう
未発	みはつ
根城	ねじろ
根治	こんじ
氏神	うじがみ
湯治	とうじ
満場	まんじょう
