素因	そいん
体系	たいけい
内訳	うちわけ
分担	ぶんたん
創刊	そうかん
創業	そうぎょう
創造	そうぞう
参拝	さんぱい
右派	うは
合憲	ごうけん
家宅	かたく
家賃	やちん
左派	さは
年収	ねんしゅう
幼児	ようじ
庁舎	ちょうしゃ
操業	そうぎょう
支障	ししょう
改憲	かいけん
民衆	みんしゅう
沿岸	えんがん
生存	せいぞん
皇室	こうしつ
皇居	こうきょ
短縮	たんしゅく
私的	してき
背中	せなか
背任	はいにん
背後	はいご
衣装	いしょう
視線	しせん
誤解	ごかい
貧困	ひんこん
通訳	つうやく
遺産	いさん
重傷	じゅうしょう
階段	かいだん
難色	なんしょく
一党	いっとう
党派	とうは
全域	ぜんいき
