御幸	ぎょうき
廉潔	れんけつ
思慕	しぼ
憧憬	どうけい
挫傷	ざしょう
撃沈	げきちん
既往	きおう
書架	しょか
来襲	らいしゅう
歓待	かんたい
死滅	しめつ
死骸	しがい
汗水	あせみず
沙汰	さた
泡盛	あわもり
浮標	ふひょう
渋柿	しぶがき
滅多	めった
滑空	かっくう
滑車	かっしゃ
潜入	せんにゅう
火鉢	ひばち
炎暑	えんしょ
珍妙	ちんみょう
甘言	かんげん
甘酢	あまず
疾駆	しっく
砂煙	すなけむり
粗筋	あらすじ
粗野	そや
粛正	しゅくせい
精妙	せいみょう
細腕	ほそうで
群舞	ぐんぶ
脱衣	だつい
腐乱	ふらん
臭素	しゅうそ
致命	ちめい
舌鼓	したつづみ
薄謝	はくしゃ
虚礼	きょれい
袋物	ふくろもの
解脱	げだつ
訓戒	くんかい
賢者	けんじゃ
軍靴	ぐんか
造詣	ぞうけい
酷評	こくひょう
鈍行	どんこう
銃火	じゅうか
鋭意	えいい
錯乱	さくらん
長江	ちょうこう
陽炎	かげろう
雌花	めばな
離縁	りえん
雨脚	あまあし
零点	れいてん
霧雨	きりさめ
騎兵	きへい
魚介	ぎょかい
人畜	じんちく
伴侶	はんりょ
俗説	ぞくせつ
倒錯	とうさく
健脚	けんきゃく
円弧	えんこ
冠状	かんじょう
冷遇	れいぐう
凡庸	ぼんよう
刃傷	にんじょう
剣豪	けんごう
勲記	くんき
勾玉	まがたま
包摂	ほうせつ
号砲	ごうほう
喝破	かっぱ
